"","age_n","weight","cond_n","pes_mean","head_length"
"age_n",1,0.569545037355325,0.145102959421893,0.451609528667967,0.548908843358468
"weight",0.569545037355325,1,0.286200067898833,0.845033331416628,0.922520753379584
"cond_n",0.145102959421893,0.286200067898833,1,0.383069700828094,0.31904250939998
"pes_mean",0.451609528667967,0.845033331416628,0.383069700828094,1,0.819185935855665
"head_length",0.548908843358468,0.922520753379584,0.31904250939998,0.819185935855665,1
