"FID_","AREA","PERIMETER","WOOD05B_CL","WOOD05B__1","POLY_ID_NO","STRUCTURE","COMMUNITY","END_COMMUN"
,401444.45,6042.16,218.00,217.00,"MF19A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,19339.54,596.81,219.00,218.00,"WG248A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,64673.89,1530.59,221.00,220.00,"WG299A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,26610.26,649.37,226.00,225.00,"MF26","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,44492.03,929.77,227.00,226.00,"WG244","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,18337.37,727.51,234.00,233.00,"WG206A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,302364.75,3109.29,239.00,238.00,"MF27A","2o Grassland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,18809.03,548.85,242.00,241.00,"WB270","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,51630.71,1056.18,243.00,242.00,"WG245A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,137582.04,1701.51,244.00,243.00,"MF11A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,50069.67,983.81,249.00,248.00,"WG295A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,150103.51,2177.84,252.00,251.00,"WG269A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,52394.53,1752.18,254.00,253.00,"WG262","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,124938.54,2902.60,255.00,254.00,"MF19B","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,109491.71,1952.79,262.00,261.00,"MF25A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,204839.35,1878.08,263.00,262.00,"WG40A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,216864.37,2130.34,265.00,264.00,"WG263A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,170251.50,2035.83,269.00,268.00,"MF28A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,18964.39,660.69,272.00,271.00,"WG269A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,285492.53,3262.14,273.00,272.00,"MF38","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,16668.26,551.64,274.00,273.00,"WG229","Open Forest","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,528524.67,4286.69,275.00,274.00,"MF37","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,130092.00,1817.53,277.00,276.00,"WG40E","2o Grassland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,54048.53,1278.32,279.00,278.00,"MF30A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,165376.31,2436.08,282.00,281.00,"MF32","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,28780.73,1454.43,286.00,285.00,"MF29A","Open Forest","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,170722.25,2078.55,287.00,286.00,"WG69","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,8933.92,658.90,313.00,312.00,"MF29A","Open Forest","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,78222.17,1506.48,316.00,315.00,"GO70A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,118489.48,1595.05,317.00,316.00,"WG220A","Open Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,56099.21,1047.17,321.00,320.00,"WG221","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,365670.48,4426.32,323.00,322.00,"MF34","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,53611.40,945.54,324.00,323.00,"MF34C","2o Grassland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,89443.89,1231.67,325.00,324.00,"GO65A","Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
,144490.31,2544.93,337.00,335.00,"WG218","2o Grassland","Yellow-Box/Red-Gum Endangered Grassy Woodland","Yellow-Box/Red-Gum Endangered Grassy Woodland"
