"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o"
"food_o",1,0.0386344352510844,0.39271746653702,0.618930473177346,0.759255930020118,0.261927282161965,-0.157707001661285
"grooming_o",0.0386344352510844,1,0.0168119419510332,-0.0687043909136354,0.0179213197200155,0.0305145825530412,-0.0781808513044646
"jump_climb_o",0.39271746653702,0.0168119419510332,1,0.682595040693135,0.696456973191238,0.869016431863912,-0.148766370894791
"legs_o",0.618930473177346,-0.0687043909136354,0.682595040693135,1,0.929704893087191,0.467232734933278,-0.153233041744839
"moving_o",0.759255930020118,0.0179213197200155,0.696456973191238,0.929704893087191,1,0.497422550395165,-0.171792088672576
"perch_o",0.261927282161965,0.0305145825530412,0.869016431863912,0.467232734933278,0.497422550395165,1,-0.117582682329331
"resting_o",-0.157707001661285,-0.0781808513044646,-0.148766370894791,-0.153233041744839,-0.171792088672576,-0.117582682329331,1
