"","age_n","body_weight_kg","cond_n","pes_mean_mm","head_length_mm"
"age_n",1,0.503436538360278,0.167547109489555,0.379834180264588,0.487928427865411
"body_weight_kg",0.503436538360278,1,0.286200067898833,0.845033331416628,0.922520753379584
"cond_n",0.167547109489555,0.286200067898833,1,0.383069700828094,0.31904250939998
"pes_mean_mm",0.379834180264588,0.845033331416628,0.383069700828094,1,0.819185935855665
"head_length_mm",0.487928427865411,0.922520753379584,0.31904250939998,0.819185935855665,1
