"","assay_date","study_site","session","assay_id","temp","quoll_code","initial_repeat_assay","assay_number","trap_location","arena","snout_in_arena","haunches_in_arena","time_to_emerge_s","arena_entry","arena_entry_01","remaining_bait_g","bait_eaten_g","id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","sex","morph","process_start","process_end","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_l_mm","pes_r_mm","head_length_mm","processing_time_min","moon_phase","start_time","finish_time","first_light","time_processtoassay","time_assaytolight"
"11",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_10",1.05075371871075,"6D53F",NA,1,"W19","Quollympia",2024-01-25 01:37:45,"2024-01-25 01:37:45",0,"E","0",48,12,"MulligansA_10_6D53F",22,0,7,92,104,0,0,5,11,12,6,45.76,0,17.04,493.743,84.46,0,0,85.795,282.35,259.708,572.114,34,225,"M","Black","2024-01-25 23:37:00",2024-01-25 23:46:46,"1. Quiet","1. Quiet","1. Quiet","Excellent",1.23,"2-3yrs",53.75,53.8,92.45,"6.7824074074074071E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1329.01666666667,-1.00942168933941
"12",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_11",1.05075371871075,"86FFC",NA,1,"W64","Quollosseum",2024-01-25 02:50:53,"2024-01-25 02:50:56",2.99999999999927,"E","0",60,0,"MulligansA_11_86FFC",5,0,104,62,82,33,0,12,14,12,9,4,0,222.327,89.752,69.369,687.985,0,788.309,193.666,89.988,127.991,47,286,"F","Black","2024-01-25 23:57:00",2024-01-25 23:59:45,"1. Quiet","2. Fiesty","1. Quiet","Good",0.88,"1-2yrs",51.3,53,85.4,"1.9097222222222222E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1268.86666666667,-0.947059129708556
"13",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_12",1.2449688610317,"53527","Initial assay",1,"W75","Quollympia",2024-01-25 02:53:03,"2024-01-25 02:53:05",1.99999999999991,"E","0",48,12,"MulligansA_12_53527",36,1,50,69,121,14,0,11,20,20,10,77.919,1.32,152.747,133.237,107.81,74.156,0,525.989,193.5,262.661,217.27,61,291,"F","Black","2024-01-26 00:39:00",2024-01-26 00:48:03,"1. Quiet","1. Quiet","1. Quiet","Excellent",0.91,"2-3yrs",55.6,55,89.6,"6.2847222222222219E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1315,-0.945211560713111
"14",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_13",1.2449688610317,"5CB85","Initial assay",1,"W75","Aquollpolis",2024-01-25 02:55:49,"2024-01-25 02:55:53",3.99999999999863,"E","0",60,0,"MulligansA_13_5CB85",11,1,105,111,109,43,0,18,30,21,9,5.68,68.2,206.788,210.098,68.888,342.432,0,317.462,395.891,310.5,176.031,78,380,"F","Black","2024-01-26 00:55:00",2024-01-26 01:02:00,"1. Quiet","1. Quiet","1. Quiet","Good",0.91,"1-2yrs",51.9,53.3,86.8,"4.8611111111111112E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1326.18333333333,-0.94285235722662
"15",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_14",1.05075371871075,"71872","Initial assay",1,"W64","Quollosseum",2024-01-25 03:52:03,"2024-01-25 03:52:03",0,"E","0",39,21,"MulligansA_14_71872",40,4,98,140,181,25,0,14,25,25,13,97.117,66.16,243.932,183.301,123.643,195.826,0,505.506,217.695,227.216,249.507,77,488,"F","Black","2024-01-26 00:06:00",2024-01-26 00:20:27,"1. Quiet","1. Quiet","1. Quiet","Good",0.51,"<1yr",49.6,50.3,78.3,"1.0034722222222223E-2",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1228.4,-0.894900835760232
"16",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_15",1.05075371871075,"BCA09",NA,1,"W22","Quollympia",2024-01-25 03:55:01,"2024-01-25 03:55:26",25.0000000000007,"E","0",49,11,"MulligansA_15_BCA09",59,0,8,122,203,0,0,17,33,37,20,127.712,0,5.52,376.038,227.373,0,0,259.943,307.007,382.124,250.82,107,392,"F","Fawn","2024-01-26 00:19:00",2024-01-26 00:24:49,"1. Quiet","1. Quiet","2. Fiesty","Fair",1.31,"2-3yrs",54.4,54.3,94.4,"4.0393518518518521E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1229.8,-0.892371087443393
"17",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_16",1.05075371871075,"67D6E","Initial assay",1,"W25","Aquollpolis",2024-01-25 03:58:42,"2024-01-25 03:58:48",5.99999999999854,"E","0",60,0,"MulligansA_16_67D6E",11,0,75,72,88,34,0,9,19,22,12,6.639,0,351.322,115.338,80.727,236.891,0,136.311,473.782,375.098,214.548,62,280,"F","Black","2024-01-26 00:39:00",2024-01-26 00:44:59,"1. Quiet","1. Quiet","1. Quiet","Good",0.96,"2-3yrs",53.3,52.7,88.4,"4.1550925925925922E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1246.28333333333,-0.889230220151137
"18",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_17",0.856538576389806,"53326","Initial assay",1,"W27","Quollosseum",2024-01-25 04:46:52,"2024-01-25 04:46:53",1.00000000000176,"E","0",39,21,"MulligansA_17_53326",3,1,7,10,20,1,0,2,2,1,1,3.36,9,40.519,29.755,21.397,17.319,0,1023.318,49.558,19.319,107.8,6,42,"F","Black","2024-01-26 00:58:00",2024-01-26 01:01:40,"1. Quiet","1. Quiet","1. Quiet","Good",0.91,"1-2yrs",52.7,52.95,89.3,"2.5462962962962965E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1214.8,-0.848157340175482
"19",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_18",1.05075371871075,"6E990",NA,1,"W27","Quollympia",2024-01-25 04:49:51,"2024-01-25 04:50:07",15.9999999999993,"E","0",39,21,"MulligansA_18_6E990",23,0,90,124,156,23,0,13,23,27,16,70.797,0,410.175,203.077,143.789,116.431,0,279.628,136.897,302.533,480.864,79,416,"F","Black","2024-01-26 01:06:00",2024-01-26 01:13:18,"1. Quiet","1. Quiet","1. Quiet","Fair",0.58,"<1yr",57,50.8,79,"5.0694444444444441E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1223.45,-0.845613379789446
"20",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_19",1.05075371871075,"525C8","Initial assay",1,"W29","Aquollpolis",2024-01-25 04:52:46,"2024-01-25 04:53:21",34.9999999999991,"E","0",52,8,"MulligansA_19_525C8",24,0,3,41,85,0,0,5,6,6,4,64.88,0,5.759,104.271,97.586,0,0,831.516,238.914,60.874,68.676,21,153,"M","Fawn","2024-01-26 01:30:00",2024-01-26 01:37:33,"1. Quiet","1. Quiet","1. Quiet","Fair",0.59,"<1yr",48.6,48.7,74.8,"5.2430555555555555E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1244.78333333333,-0.843126267680194
"21",2024-01-25,"MFWS","MFBehavAssaysSUMA","MulligansA_20",1.05075371871075,"88B4C",NA,1,"W81","Quollosseum",2024-01-25 05:22:22,"2024-01-25 05:22:22",0,"E","0",60,0,"MulligansA_20_88B4C",11,1,85,52,82,30,0,6,12,16,10,11.16,1.48,215.77,81.809,77.1,156.7,0,109.354,112.588,157.264,820.751,44,261,"F","Black","2024-01-26 01:54:00",2024-01-26 01:59:06,"1. Quiet","1. Quiet","1. Quiet","Good",1.13,"1-2yrs",55.8,55.6,88.7,"3.5416666666666665E-3",0.817316104935696,1899-12-31 22:05:00,1899-12-31 01:40:00,2024-01-26 05:46:00,-1236.73333333333,-0.81788563278858
