"","age_n","body_weight_kg","cond_n","pes_mean_mm","head_length_mm"
"age_n",1,0.226524924595554,-0.104446593573419,0.20593193279573,0.313443467625909
"body_weight_kg",0.226524924595554,1,0.530674764273585,0.818492357344698,0.931686138765951
"cond_n",-0.104446593573419,0.530674764273585,1,0.719195957324444,0.552890826311639
"pes_mean_mm",0.20593193279573,0.818492357344698,0.719195957324444,1,0.808684568960531
"head_length_mm",0.313443467625909,0.931686138765951,0.552890826311639,0.808684568960531,1
