"","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d"
"food_d",1,0.00338685835530136,0.124577761375063,-0.0389730617703526,0.183039155844429,0.0527736657886068,-0.0829159685147107
"grooming_d",0.00338685835530136,1,0.00260335987297794,-0.241593850750328,-0.0222166743454685,0.0161759242860038,-0.0739167123002436
"jump_climb_d",0.124577761375063,0.00260335987297794,1,-0.052192144708213,0.461906111590741,0.272827943958742,-0.152226856574429
"legs_d",-0.0389730617703526,-0.241593850750328,-0.052192144708213,1,0.25727214520751,-0.330701922669972,-0.0378089779622843
"moving_d",0.183039155844429,-0.0222166743454685,0.461906111590741,0.25727214520751,1,-0.0525010649474891,-0.042336501067271
"perch_d",0.0527736657886068,0.0161759242860038,0.272827943958742,-0.330701922669972,-0.0525010649474891,1,-0.0910819674952967
"resting_d",-0.0829159685147107,-0.0739167123002436,-0.152226856574429,-0.0378089779622843,-0.042336501067271,-0.0910819674952967,1
