"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o"
"food_o",1,0.0254346477939671,0.363855973777551,0.628456997532937,0.74511127510034,0.228045715641517,-0.151555653242108
"grooming_o",0.0254346477939671,1,0.03305806821845,-0.0601136037086755,0.0284019923440402,0.0470296988343673,-0.0749335756482496
"jump_climb_o",0.363855973777551,0.03305806821845,1,0.676668895602644,0.697092373224523,0.871442158373667,-0.142769231712273
"legs_o",0.628456997532937,-0.0601136037086755,0.676668895602644,1,0.931176047710502,0.460598802189072,-0.148070976794972
"moving_o",0.74511127510034,0.0284019923440402,0.697092373224523,0.931176047710502,1,0.497841557979773,-0.16575681277051
"perch_o",0.228045715641517,0.0470296988343673,0.871442158373667,0.460598802189072,0.497841557979773,1,-0.111894177695046
"resting_o",-0.151555653242108,-0.0749335756482496,-0.142769231712273,-0.148070976794972,-0.16575681277051,-0.111894177695046,1
