"","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d"
"food_d",1,0.0110141116705724,0.103392143288932,-0.0666416772280578,0.176783982273242,0.0636516077790383,-0.0828336839060642
"grooming_d",0.0110141116705724,1,-0.00361154921473492,-0.232728617922886,-0.0366792406696761,0.00249684646730078,-0.0771078981763355
"jump_climb_d",0.103392143288932,-0.00361154921473492,1,-0.06034526864276,0.4496855974702,0.271141416374582,-0.155868839811164
"legs_d",-0.0666416772280578,-0.232728617922886,-0.06034526864276,1,0.269916315355261,-0.321290102525933,-0.0350706460034534
"moving_d",0.176783982273242,-0.0366792406696761,0.4496855974702,0.269916315355261,1,-0.0710568681938073,-0.0464195569784098
"perch_d",0.0636516077790383,0.00249684646730078,0.271141416374582,-0.321290102525933,-0.0710568681938073,1,-0.0952926099632197
"resting_d",-0.0828336839060642,-0.0771078981763355,-0.155868839811164,-0.0350706460034534,-0.0464195569784098,-0.0952926099632197,1
