"","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o"
"food_d",0.409920590794091,0.0178812698872647,0.179423368637852,0.234029430833269,0.367492499367669,0.359975685927159,-0.0828336839060642
"grooming_d",-0.0497498296006558,0.78537671947657,0.0780096531021786,-0.00368229346283731,0.0341118399850036,0.0805542102544449,-0.0771078981763355
"jump_climb_d",0.317374900180085,-0.0213697116498868,0.849796887118603,0.659820635427426,0.616930403814187,0.754708607674758,-0.155868839811164
"legs_d",0.170163180106216,-0.283607232721357,-0.0831898176854379,0.373910567823118,0.210823386355955,-0.150621488968638,-0.0350706460034534
"moving_d",0.590720311899465,-0.0799261428094481,0.476542418709841,0.82050748209227,0.858756215825277,0.261140869975268,-0.0464195569784098
"perch_d",-0.0826382747924164,-0.0669546525819164,0.290663525898885,-0.0393088329484731,-0.018379662059447,0.383982306097571,-0.0952926099632197
"resting_d",-0.157707001661285,-0.0781808513044646,-0.148766370894791,-0.153233041744839,-0.171792088672576,-0.117582682329331,1
