"","assay_date","study_site","session","assay_id","temp","quoll_code","initial_repeat_assay","assay_number","trap_location","arena","snout","haunches","time_to_emerge_s","emerge_max","arena_entry","bait_eaten_g","obs_id","food_o","grooming_o","jump_climb_o","legs_o","moving_o","perch_o","resting_o","section_1_o","section_2_o","section_3_o","section_4_o","food_d","grooming_d","jump_climb_d","legs_d","moving_d","perch_d","resting_d","section_1_d","section_2_d","section_3_d","section_4_d","sumsect_o","totalact_o","trap_session_date","trap_session_morning","moon_phase","first_light","ssr","process_start","process_end","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","pouch","teeth_colour","teeth_sharpness","teeth_shine","age_estimate","pes_mean_mm","head_length_mm","sex","morph","cond_n","age_n","time_processtoassay","time_assaytolight"
"11",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_10",23,"6D53F","Initial assay","1","W19","Quollympia",2024-01-26 01:37:45,"2024-01-26 01:37:45",0,0,"E",12,"MulligansA_10_6D53F",22,0,7,92,104,0,0,5,11,12,6,45.76,0,17.04,493.743,84.46,0,0,85.795,282.35,259.708,572.114,34,225,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-25 23:37:00",2024-01-25 23:46:46,1,1,1,"Excellent",1.23,NA,"White","Sharp","Dull","2-3yrs",53.775,92.45,"M","Black",4,2,110.983333333333,248.25
"12",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_11",23,"86FFC","Initial assay","1","W64","Quollosseum",2024-01-26 02:50:53,"2024-01-26 02:50:56",2.99999999999927,2.99999999999927,"E",0,"MulligansA_11_86FFC",5,0,104,62,82,33,0,12,14,12,9,4,0,222.327,89.752,69.369,687.985,0,788.309,193.666,89.988,127.991,47,286,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-25 23:57:00",2024-01-25 23:59:45,1,2,1,"Good",0.88,"3","White","Blunt","Shiny","1-2yrs",52.15,85.4,"F","Black",3,1,171.133333333333,175.116666666667
"13",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_12",24,"53527","Initial assay","1","W75","Quollympia",2024-01-26 02:53:03,"2024-01-26 02:53:05",1.99999999999991,1.99999999999991,"E",12,"MulligansA_12_53527",36,1,50,69,121,14,0,11,20,20,10,77.919,1.32,152.747,133.237,107.81,74.156,0,525.989,193.5,262.661,217.27,61,291,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 00:39:00",2024-01-26 00:48:03,1,1,1,"Excellent",0.91,"3","White","Blunt","Dull","2-3yrs",55.3,89.6,"F","Black",4,2,125,172.95
"14",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_13",24,"5CB85","Initial assay","1","W75","Aquollpolis",2024-01-26 02:55:49,"2024-01-26 02:55:53",3.99999999999863,3.99999999999863,"E",0,"MulligansA_13_5CB85",11,1,105,111,109,43,0,18,30,21,9,5.68,68.2,206.788,210.098,68.888,342.432,0,317.462,395.891,310.5,176.031,78,380,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 00:55:00",2024-01-26 01:02:00,1,1,1,"Good",0.91,"1 (adult)","White","Sharp","Dull","1-2yrs",52.6,86.8,"F","Black",3,1,113.816666666667,170.183333333333
"15",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_14",23,"71872","Initial assay","1","W64","Quollosseum",2024-01-26 03:52:03,"2024-01-26 03:52:03",0,0,"E",21,"MulligansA_14_71872",40,4,98,140,181,25,0,14,25,25,13,97.117,66.16,243.932,183.301,123.643,195.826,0,505.506,217.695,227.216,249.507,77,488,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 00:06:00",2024-01-26 00:20:27,1,1,1,"Good",0.51,"0 (immature)","White","Sharp","Shiny","<1yr",49.95,78.3,"F","Black",3,0,211.6,113.95
"16",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_15",23,"BCA09","Initial assay","1","W22","Quollympia",2024-01-26 03:55:01,"2024-01-26 03:55:26",25.0000000000007,25.0000000000007,"E",11,"MulligansA_15_BCA09",59,0,8,122,203,0,0,17,33,37,20,127.712,0,5.52,376.038,227.373,0,0,259.943,307.007,382.124,250.82,107,392,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 00:19:00",2024-01-26 00:24:49,1,1,2,"Fair",1.31,"2","White","Sharp","Dull","2-3yrs",54.35,94.4,"F","Fawn",2,2,210.2,110.983333333333
"17",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_16",23,"67D6E","Initial assay","1","W25","Aquollpolis",2024-01-26 03:58:42,"2024-01-26 03:58:48",5.99999999999854,5.99999999999854,"E",0,"MulligansA_16_67D6E",11,0,75,72,88,34,0,9,19,22,12,6.639,0,351.322,115.338,80.727,236.891,0,136.311,473.782,375.098,214.548,62,280,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 00:39:00",2024-01-26 00:44:59,1,1,1,"Good",0.96,"1 (adult)","White","Blunt","Dull","2-3yrs",53,88.4,"F","Black",3,2,193.716666666667,107.3
"18",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_17",22,"53326","Initial assay","1","W27","Quollosseum",2024-01-26 04:46:52,"2024-01-26 04:46:53",1.00000000000176,1.00000000000176,"E",21,"MulligansA_17_53326",3,1,7,10,20,1,0,2,2,1,1,3.36,9,40.519,29.755,21.397,17.319,0,1023.318,49.558,19.319,107.8,6,42,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 00:58:00",2024-01-26 01:01:40,1,1,1,"Good",0.91,"1 (adult)","White","Sharp","Shiny","1-2yrs",52.825,89.3,"F","Black",3,1,225.2,59.1333333333333
"19",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_18",23,"6E990","Initial assay","1","W27","Quollympia",2024-01-26 04:49:51,"2024-01-26 04:50:07",15.9999999999993,15.9999999999993,"E",21,"MulligansA_18_6E990",23,0,90,124,156,23,0,13,23,27,16,70.797,0,410.175,203.077,143.789,116.431,0,279.628,136.897,302.533,480.864,79,416,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 01:06:00",2024-01-26 01:13:18,1,1,1,"Fair",0.58,"0 (immature)","White","Sharp","Shiny","<1yr",53.9,79,"F","Black",2,0,216.55,56.15
"20",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_19",23,"525C8","Initial assay","1","W29","Aquollpolis",2024-01-26 04:52:46,"2024-01-26 04:53:21",34.9999999999991,34.9999999999991,"E",8,"MulligansA_19_525C8",24,0,3,41,85,0,0,5,6,6,4,64.88,0,5.759,104.271,97.586,0,0,831.516,238.914,60.874,68.676,21,153,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 01:30:00",2024-01-26 01:37:33,1,1,1,"Fair",0.59,NA,"White","Sharp","Shiny","<1yr",48.65,74.8,"M","Fawn",2,0,195.216666666667,53.2333333333333
"21",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_20",23,"88B4C","Initial assay","1","W81","Quollosseum",2024-01-26 05:22:22,"2024-01-26 05:22:22",0,0,"E",0,"MulligansA_20_88B4C",11,1,85,52,82,30,0,6,12,16,10,11.16,1.48,215.77,81.809,77.1,156.7,0,109.354,112.588,157.264,820.751,44,261,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-26 01:54:00",2024-01-26 01:59:06,1,1,1,"Good",1.13,"0 (immature)","White","Sharp","Shiny","1-2yrs",55.7,88.7,"F","Black",3,1,203.266666666667,23.6333333333333
"22",2024-01-25,"Mulligans Flat","MFBehavAssaysSUMA","MulligansA_3",23,"53526","Initial assay","1","W7","Quollosseum",2024-01-26 00:26:09,"2024-01-26 00:26:09",0,0,"E",39,"MulligansA_3_53526",14,3,27,40,54,5,0,3,5,6,4,80.438,41.999,42.313,102.339,46.591,170.237,0,177.517,60.796,201.714,759.477,18,143,2024-01-25,2024-01-26,98.5,2024-01-26 05:46:00,"No","2024-01-25 22:14:00",2024-01-25 22:23:06,1,1,2,"Good",0.89,"1 (adult)","White","Sharp","Dull","1-2yrs",56.05,89.7,"F","Black",3,1,123.05,319.85
