"","study_site","session","assay_id","temp","quoll_code","assay_number","arena","obs_id","section_1_o","section_2_o","section_3_o","section_4_o","section_1_d","section_2_d","section_3_d","section_4_d","moon_phase","stress_in_trap","stress_in_bag","stress_on_table","condition","body_weight_kg","age_estimate","pes_mean_mm","head_length_mm","sex","morph","cond_n","age_n","time_processtoassay","time_assaytolight","foodo_p","foodd_p","groomo_p","groomd_p","jumpo_p","jumpd_p","legsd_p","legso_p","moved_p","moveo_p","perchd_p","percho_p","bait_p","sumsecto_p","totalacto_p","trapstress_p","bagstress_p","tablestress_p","emerge_p"
"11","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_6",-0.277410691632391,"C5DDC","2","Aquollpolis","GoorooyarrooB_6_C5DDC",1,0,0,0,1200,0,0,0,-1.45192504799368,1,1,1,"Excellent",1.604,"1-2yrs",60.6,107.1,"M","Black","4","1",-0.0615292526052287,0.230823627162538,6.36531228332981,-18.9423182713494,0.193575664613968,3.40854063743259,15.2615221490349,60.2627764180616,262.089313879363,30.142019063282,41.7612646829699,34.5388432090889,176.744973154886,3.74306390018622,-2.0871181486713,13.6179001639652,90.2443362695358,0.999999999999999,0.998781251259845,1.07038793077887,29.0214402479563
"12","Goorooyarroo","GSBehavAssaysSUMB","GoorooB_7",-0.277410691632391,"5FA46","2","Quollosseum","GoorooyarrooB_7_5FA46",1,1,0,0,127.919,1072.08,0,0,-1.45192504799368,1,1,1,"Excellent",1.218,"1-2yrs",54.3,92.8,"F","Black","4","1",0.553254372934428,-0.051987303414986,3.33607228132291,-36.1587953918016,0.408611203500105,5.91417333597274,10.6338906727075,55.9199530181481,249.762353297204,21.7117046457531,31.3722689320328,23.6084963583608,155.014407073052,1.83345520894104,-4.50839292736149,7.6099716473126,61.5322303705856,0.999999999999999,0.969311390587944,1.03688845121088,29.2681984706339
"13","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_1",1.33292454272149,"56861","1","Quollympia","MulligansA_1_56861",17,32,39,24,289.223,219.09,374.281,314.897,0.989449486442881,1,1,1,"Good",0.49,"<1yr",49.35,73,"F","Black","3","0",-1.44357581978145,1.81180770480707,23.2390609849874,101.271598360272,0.227845995148668,8.13699664976067,72.6777810170827,140.972206002329,148.376397814384,70.434648163132,73.3742047298056,104.140759106986,294.290046254331,29.4584528467136,19.6562981074549,67.1999847637508,300.17854811405,0.999999999999999,1.0873243718459,0.913335948247087,16.6154847599322
"14","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_12",1.56297243334347,"53527","1","Quollympia","MulligansA_12_53527",11,20,20,10,525.989,193.5,262.661,217.27,0.989449486442881,1,1,1,"Excellent",0.91,"2-3yrs",55.3,89.6,"F","Black","4","2",0.0444492791500682,-0.122007577250059,25.2268041647301,58.7246903194625,0.810335380886567,16.1632224978615,78.6528136772892,186.581653651801,137.574393588627,82.4080347434545,99.6420153855475,121.395581296366,214.352896495004,26.3599948616933,11.7935499799425,64.4883402164043,334.853564124419,0.999999999999999,1.01119734936336,1.02895346625206,2.19478829887176
"15","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_13",1.56297243334347,"5CB85","1","Aquollpolis","MulligansA_13_5CB85",18,30,21,9,317.462,395.891,310.5,176.031,0.989449486442881,1,1,1,"Good",0.91,"1-2yrs",52.6,86.8,"F","Black","3","1",-0.136957850461677,-0.144665209719107,26.8663367465785,64.1026296237741,0.754900696001378,15.6313074187935,81.2040187985522,192.003361087068,142.635144331766,87.6326917844848,107.192329710216,128.319877257721,216.977839823756,26.9929336026591,12.3920262787596,67.1958339184595,351.770758885997,0.999999999999999,1.02143888659716,1.05647275608759,1.17370806847478
"16","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_14",1.33292454272149,"71872","1","Quollosseum","MulligansA_14_71872",14,25,25,13,505.506,217.695,227.216,249.507,0.989449486442881,1,1,1,"Good",0.51,"<1yr",49.95,78.3,"F","Black","3","0",1.44920553170242,-0.605188414240616,16.6191907925371,23.3103928836159,1.32173845215761,22.0504916608393,63.0416230463749,162.922930652769,104.945182281858,58.7874998663945,70.4026061417614,90.57781212422,153.268830033382,21.1841495983966,7.07597778128055,48.4994212129119,251.532013880081,0.999999999999999,0.964482091023132,0.936239048928909,8.06879528192923
"17","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_16",1.33292454272149,"67D6E","1","Aquollpolis","MulligansA_16_67D6E",9,19,22,12,136.311,473.782,375.098,214.548,0.989449486442881,1,1,1,"Good",0.96,"2-3yrs",53,88.4,"F","Black","3","2",1.15911633636203,-0.65964862722345,19.3690770708906,31.9614443917817,1.23446974185273,21.2355381705554,67.3249623834414,172.304066801071,113.28237951402,67.6124821514284,83.2467973385471,102.285948689554,156.815790530437,22.2082183739449,8.01308040755087,52.9895629297512,280.035158411112,0.999999999999999,0.981124932409689,0.983274720210163,6.27307725861416
"18","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_17",1.1028766520995,"53326","1","Quollosseum","MulligansA_17_53326",2,2,1,1,1023.318,49.558,19.319,107.8,0.989449486442881,1,1,1,"Good",0.91,"1-2yrs",52.825,89.3,"F","Black","3","1",1.66981390392773,-1.05410981900388,17.4336110108538,22.4897475400581,1.45752488830951,24.1095396253271,62.0480647509252,167.54709767471,102.906828431416,64.5724507564479,82.7492473162009,98.6086471054787,115.820861821413,20.0206103069964,6.46410959928306,48.579222258666,264.140908819012,0.999999999999999,0.981965599892801,0.992885182550427,8.905548607055
"19","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_19",1.33292454272149,"525C8","1","Aquollpolis","MulligansA_19_525C8",5,6,6,4,831.516,238.914,60.874,68.676,0.989449486442881,1,1,1,"Fair",0.59,"<1yr",48.65,74.8,"M","Fawn","2","0",1.18344814212218,-1.10242790270293,22.2821843909558,32.4912977184436,1.27558841252023,22.178427261856,71.9645875229222,188.972339224825,118.583978198545,78.4117101044708,101.077141410529,116.898858661729,140.551600618954,22.4151692380843,7.44550861138204,56.5536263685689,313.248098330682,0.999999999999999,0.986245699064548,1.05367562494267,2.42583489050472
"20","Mulligans Flat","MFBehavAssaysSUMA","MulligansA_20",1.33292454272149,"88B4C","1","Quollosseum","MulligansA_20_88B4C",6,12,16,10,109.354,112.588,157.264,820.751,0.989449486442881,1,1,1,"Good",1.13,"1-2yrs",55.7,88.7,"F","Black","3","1",1.31402883303495,-1.34483727176938,22.9201760915764,29.3462360363412,1.33503869093254,23.0670885800774,73.0192393146993,195.164682074266,118.411702019659,81.32461194569,106.577331301692,120.933789540172,129.427939764757,22.1289314842919,6.73192151736048,56.8837698091084,321.661787067362,0.999999999999999,0.982642502672209,1.07686399198967,0.84870655214378
