x,y,point_ID,Poly_code,Plot_ID,Poly_num,Plot_num
699210.56361800000,6102931.62779000000,b,GO,GO93Z/2,93,2
699838.35016899900,6103517.11197000000,a,GO,GO74AZ/3,74AZ,3
699759.30046099900,6103455.86538999000,b,GO,GO74AZ/3,74AZ,3
699796.36769800000,6103581.85269999000,a,GO,GO74AZ/2,74AZ,2
699715.49026300000,6103523.04079000000,b,GO,GO74AZ/2,74AZ,2
699624.11363100000,6103692.57873999000,a,GO,GO74AZ/1,74AZ,1
699714.03236900000,6103648.82237000000,b,GO,GO74AZ/1,74AZ,1
699916.81541499900,6103902.42898000000,a,GO,GO74AZ/4,74AZ,4
699928.18516899900,6103803.07744000000,b,GO,GO74AZ/4,74AZ,4
699528.70279699900,6103634.33019999000,a,GO,GO75AZ/3,75AZ,3
699529.85603100000,6103534.33684999000,b,GO,GO75AZ/3,75AZ,3
699599.30604299900,6103496.10544000000,a,GO,GO75AZ/4,75AZ,4
699599.90501800000,6103396.10723000000,b,GO,GO75AZ/4,75AZ,4
699131.51471500000,6103375.59489000000,a,GO,GO75A/3,75A,3
699184.98233100000,6103291.08918999000,b,GO,GO75A/3,75A,3
699408.93205599900,6103408.50165000000,a,GO,GO75AZ/1,75AZ,1
699312.54642100000,6103381.85940000000,b,GO,GO75AZ/1,75AZ,1
698067.71032399900,6102345.19551000000,b,WG,WG108/4,108,4
697982.86173700000,6102292.27371000000,b,WG,WG108/4,108,4
697774.68645599900,6102229.25289000000,b,WG,WG108/1,108,1
697678.78123199900,6102257.57581999000,b,WG,WG108/1,108,1
697692.38647200000,6102318.67884000000,b,WG,WG108/2,108,2
697787.85490399900,6102288.91681000000,b,WG,WG108/2,108,2
697897.84337000000,6102347.03911999000,b,WG,WG108/3,108,3
697877.74040400000,6102249.08060000000,b,WG,WG108/3,108,3
