ID,LAT,LON
019,-35.1740815,+149.1569167
020,-35.1743238,+149.1579039
021,-35.1745818,+149.1590786
022,-35.1746195,+149.1592371
023,-35.1746532,+149.1607780
024,-35.1746116,+149.1614299
025,-35.1747376,+149.1627188
026,-35.1750280,+149.1639061
027,-35.1750996,+149.1633569
028,-35.1747516,+149.1626309
029,-35.1749773,+149.1639759
030,-35.1759034,+149.1679200
031,-35.1758941,+149.1678646
032,-35.1758636,+149.1668202
033,-35.1755304,+149.1661201
